rest_id,rest_name,rest_url,rest_address,city,latitude,longitude,rest_timing,rest_rating,cuisines,features
233,Iso Cafe & Bar,https://www.zomato.com/jaipur/iso-cafe-bar-tonk-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1st Floor, Hotel Bella Casa, Ashram Marg, Tonk Road, Jaipur",Jaipur,26.840126765100003,75.7942127064,"1pm – 3am (Mon-Fri),11am – 3am (Sat-Sun)",4.4,"Modern Indian, Italian, Continental, Cafe, North Indian","['Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Lunch', 'Air Conditioned', 'Smoking Area', 'DJ', 'Nightlife', 'Fullbar', 'Indoor Seating', 'Table booking recommended', 'Wheelchair Accessible', 'Live Sports Screening', 'Valet Parking Available', 'Outdoor Seating']"
234,Tapri Ashram,https://www.zomato.com/jaipur/tapri-ashram-1-tonk-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shopping Arcade, Jaipur Marriott Hotel, Ashram Marg, Near Jawahar Circle, Tonk Road, Jaipur",Jaipur,26.8411702191,75.7960872352,"12:30 PM to 10:30 PM (Mon-Fri), 8 AM to 10:30 PM (Sat-Sun)",4.4,"Cafe, Fast Food","['Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Free Parking', 'Indoor Seating', 'Free Wifi', 'Air Conditioned', 'Wifi', 'Pure Veg', 'Buffet', 'Desserts and Bakes', 'Outdoor Seating', 'Table booking recommended']"
235,Barbeque Nation,https://www.zomato.com/jaipur/barbeque-nation-mi-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1st Floor, E-2 Khandelwal Mansion, Paanch Batti Circle, MI Road, Jaipur",Jaipur,26.9165085994,75.8098831773,"12 Noon to 3:30 PM, 6:30 PM to 11:30 PM",4.4,"North Indian, Chinese, Continental","['No Alcohol Available', 'Dinner', 'Lunch', 'Cash', 'Credit Card', 'Debit Card', 'Valet Parking Available', 'Air Conditioned', 'Wifi', 'Buffet', 'Indoor Seating', 'Table booking recommended']"
236,Dhaba Kulture,https://www.zomato.com/jaipur/dhaba-kulture-vaishali-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"A3, Lohia Colony, Vaishali Marg, Vaishali Nagar, Jaipur",Jaipur,26.9152523848,75.7308867574,12 Noon to 11 PM,4.4,North Indian,"['Lunch', 'Delivery', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Table booking recommended', 'Air Conditioned', 'Pure Veg', 'Digital Payments Accepted']"
237,Monarch Restaurant - Holiday Inn Jaipur City Centre,https://www.zomato.com/jaipur/monarch-restaurant-holiday-inn-jaipur-city-centre-bais-godam?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Holiday Inn Jaipur City Centre, Commercial Plot 1, Sardar Patel Road, Bais Godam, Jaipur",Jaipur,26.902867369000003,75.7930231467,6 AM to 11:30 PM,4.4,"North Indian, Chinese, Continental, Rajasthani","['Credit Card', 'Serves Alcohol', 'Lunch', 'Cash', 'Breakfast', 'Dinner', 'Buffet', 'Fullbar', '4/5 Star', 'Air Conditioned', 'Wifi', 'Indoor Seating', 'Table booking recommended', 'Axis Bank - Dining Delights']"
238,Pint House,https://www.zomato.com/jaipur/pint-house-sodala?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"7th Floor, Big Ben Tower, Opposite Trinity Mall, New Sanganer Road, Sodala, Jaipur",Jaipur,26.891033589,75.7725991309,12noon – 12midnight (Mon-Sun),4.4,"North Indian, Chinese, Lebanese, Continental, Italian","['Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Dinner', 'Air Conditioned', 'Smoking Area', 'Pure Veg', 'Wine', 'Live Music', 'Fullbar', 'Indoor Seating', 'Digital Payments Accepted', 'Beer', 'Wifi', 'Outdoor Seating', 'Rooftop']"
239,Govindam Retreat,https://www.zomato.com/jaipur/govindam-retreat-pink-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Kanwar Nagar, Near Govind Devji Temple, Pink City, Jaipur",Jaipur,26.9289202171,75.8255395666,10am – 10pm (Mon-Sun),4.4,"North Indian, South Indian, Rajasthani, Fast Food","['Lunch', 'Cash', 'Credit Card', 'Debit Card', 'Dinner', 'Breakfast', 'Free Parking', 'Live Entertainment', 'Valet Parking Available', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg', 'Karaoke', 'City View', 'Outdoor Seating', 'Rooftop', 'Air Conditioned', 'Smoking Area', 'Serves Jain Food']"
240,Club Trove,https://www.zomato.com/jaipur/club-trove-bani-park?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Khasa Kothi Flyover, Near Moti Mahal Cinema, Bani Park, Jaipur",Jaipur,75.7913146,0.0,12 Noon to 2 AM,4.4,"Asian, Chinese, Continental, Italian","['Dinner', 'Cash', 'Credit Card', 'Serves Alcohol', 'Lunch', 'Wheelchair Accessible', 'Dance Floor', 'Nightlife', 'Outdoor Seating', 'Beer', 'Indoor Seating', 'Serves Cocktails', 'Table booking recommended', 'Live Entertainment', 'Fullbar', 'Wine', 'Live Music', 'Rooftop', 'Free Wifi', 'Air Conditioned', 'Smoking Area']"
241,Biryani Turnovers,https://www.zomato.com/jaipur/biryani-turnovers-raja-park?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Plot 221, Panchvati Circle, Raja Park, Jaipur",Jaipur,26.8931374893,75.8319466934,11am – 11:30pm (Mon-Sun),4.4,Biryani,"['Breakfast', 'Cash', 'Lunch', 'Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'Air Conditioned', 'Indoor Seating', 'Digital Payments Accepted']"
242,Club XSS,https://www.zomato.com/jaipur/club-xss-shyam-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Plot 4, Calcutta Farm House, Shyam Nagar, Jaipur",Jaipur,26.8948983842,75.76736446470001,"12noon – 11:50pm (Mon-Fri),12noon – 1am (Sat-Sun)",4.4,"Finger Food, Continental, North Indian, Asian","['Lunch', 'Cash', 'Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'DJ', 'Live Entertainment', 'Valet Parking Available', 'Live Music', 'Table booking recommended', 'Available for Functions', 'Wifi', 'Dance Floor', 'Nightlife', 'Fullbar', 'Indoor Seating', 'Digital Payments Accepted', 'Air Conditioned', 'Smoking Area']"
