,rest_id,rest_name,rest_url,rest_address,city,latitude,longitude,rest_timing,rest_rating,cuisines,features
4161,4162,Marwari Restaurant,https://www.zomato.com/jodhpur/marwari-restaurant-chopasni-housing-board?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"50 A, Santdham Building, Opposite New Kohinoor Cinema, Chopasani Road, Chopasni Housing Board, Jodhpur",Jodhpur,26.277493,72.994451,10 AM to 9 PM,0.0,"North Indian, Chinese, Italian","['Dinner', 'Cash', 'Lunch', 'Takeaway Available', 'Breakfast', 'Indoor Seating', 'Pure Veg', 'Air Conditioned']"
4162,4163,Desi Palette,https://www.zomato.com/jodhpur/desi-palette-sardarpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Cosmopolis Hotel, Near Railway Station, Sardarpura, Jodhpur",Jodhpur,26.2831158157,73.0213346332,"7 AM to 10:30 AM, 7:30 PM to 11 PM, 12:30 PM to 3 PM",0.0,North Indian,"['Cash', 'Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'Lunch', 'Breakfast', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']"
4165,4166,Mansoon Villa,https://www.zomato.com/jodhpur/mansoon-villa-basni?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Plot No 278 Sectpr K Vivek Vihar Yojna Sangariya, Basni, Jodhpur",Jodhpur,26.188048,73.014468,11 AM to 11 PM,0.0,"South Indian, North Indian, Chinese","['Lunch', 'Dinner', 'Cash', 'Breakfast', 'Outdoor Seating', 'Digital Payments Accepted', 'All Day Breakfast', 'Brunch', 'Indoor Seating']"
4909,4910,Ananta-Tara Rooftop Restaurant,https://www.zomato.com/udaipur/ananta-tara-rooftop-restaurant-fateh-sagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Village Bujhda, Tehsil Girwa, Kodiyat Road, Fateh Sagar, Udaipur",Udaipur,24.574122,73.624953,11 AM to 11 PM,3.7,"North Indian, Rajasthani","['Cash', 'Debit Card', 'Dinner', 'Credit Card', 'No Alcohol Available', 'Lunch', 'Rooftop', 'Table booking recommended', 'Outdoor Seating']"
4910,4911,Ark- juSTa Rajputana,https://www.zomato.com/udaipur/ark-justa-rajputana-hiran-magri?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"juSTa Rajputana, Sector-11, Near Savina Math, Hiran Magri, Udaipur",Udaipur,24.5548244476,73.701101616,7 AM to 11 PM (Mon-Sun),3.4,"North Indian, Continental, Chinese, Italian","['Debit Card', 'Dinner', 'Lunch', 'Breakfast', 'Credit Card', 'Cash', 'Outdoor Seating', 'Fullbar', 'Smoking Area', 'Air Conditioned', 'Indoor Seating']"
4913,4914,Oasis Deck,https://www.zomato.com/udaipur/oasis-deck-fateh-sagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Village Bujhda, Tehsil Girwa, Kodiyat Road, Fateh Sagar, Udaipur",Udaipur,24.574122,73.624953,9 AM to 9 PM,3.1,"North Indian, Continental, Chinese","['Cash', 'Debit Card', 'Credit Card', 'Fullbar', 'Outdoor Seating', 'Table Reservation Not Required']"
4916,4917,Sky Lounge Bar and Grill - Golden Tulip,https://www.zomato.com/udaipur/sky-lounge-bar-and-grill-golden-tulip-panchwati?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Golden Tulip, 63rd Avenue, Sardarpura, Panchwati, Udaipur",Udaipur,24.5974188275,73.693998456,7:30 PM to 11:45 PM (Mon-Sun),0.0,"North Indian, Rajasthani","['Cash', 'Debit Card', 'Credit Card', 'Dinner', 'Fullbar', 'Outdoor Seating']"
4922,4923,Seasons Cafe,https://www.zomato.com/udaipur/seasons-cafe-ashok-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Radisson Udaipur, Lake City Mall, University Road, Ashok Nagar, Udaipur",Udaipur,24.5885287387,73.7097138539,6:30 AM to 11 PM (Mon-Sun),3.8,"North Indian, Chinese","['Breakfast', 'Dinner', 'Debit Card', 'Credit Card', 'Lunch', 'Cash', 'Mall Parking', 'Indoor Seating', 'Fullbar', 'Wifi', 'Air Conditioned', 'Smoking Area']"
4923,4924,Bhoomi Fine Dine - Ramya Resort And Spa,https://www.zomato.com/udaipur/bhoomi-fine-dine-ramya-resort-and-spa-pichola?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ramya Lane, Krishna Nagar, Udaipur",Udaipur,24.5049986,73.7207749,7:30 AM to 11:30 PM,0.0,"Chinese, Italian, North Indian, South Indian","['Lunch', 'Dinner', 'Cash', 'Breakfast', 'Outdoor Seating', 'Air Conditioned', 'Smoking Area', 'All Day Breakfast', 'Brunch', 'Desserts and Bakes', 'Indoor Seating', 'Serves Jain Food', 'Buffet']"
4924,4925,The Royal Ambrai Rasovda,https://www.zomato.com/udaipur/the-royal-ambrai-rasovda-chandpole?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Amet ki Haveli, Outside, Chandpole, Udaipur",Udaipur,24.5780681776,73.6803218651,6:30 PM to 10:30 PM,0.0,"North Indian, Awadhi, Rajasthani","['Dinner', 'Wine', 'Fullbar', 'Free Parking', 'Kid Friendly', 'Buffet', 'City View', 'Table booking for Groups', 'Indoor Seating', 'Beer', 'Serves Cocktails', 'Table reservation required', 'Smoking Area', 'Group Meal', 'Rooftop']"
