hotel_id,hotel_name,hotel_rating,hotel_experience,amenities,address,city,country,location,hotel_price
103,Raj Regency,4.1,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","E 89, Lal Bahadur Nagar, Jaipur, Rajasthan, 302018",Jaipur,India,"26.849802, 75.798915",30
104,Doubletree by Hilton Jaipur Amer,4.6,Wonderful,"['Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant', 'Gym']","935 Kukas Delhi Road, Jamwa Ramgarh, Rajasthan, 302028",Jaipur,India,"27.046302, 75.905236",80
105,OYO 22966 Hotel Raj Niwas,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Room service', 'Housekeeping', '24/7 front desk']","101 Near Icfai University Agra Road, Jaipur, Rajasthan, 302031",Jaipur,India,"26.888351, 75.890269",63
106,Hotel Neerja Inn,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Breakfast available', 'Business services']","699, Govind Vihar, Siddharth Nagar A,, Jagatpura, Jaipur, Rajasthan, 302017",Jaipur,India,"26.834699, 75.800513",47
107,Tuma Club House,,,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant']","E-92, Girdhar Marg, Malviya Nagar, Jaipur, Rajasthan, 302017",Jaipur,India,"26.846988, 75.803576",31
108,Rawla Mrignayani Palace,3.9,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","Rao Kriparam Ki Haveli, Opp Silver Art Palace,Old Amer Road, Jaipur, Rajasthan, 302002",Jaipur,India,"26.931515, 75.83212",13
109,Hotel Sukh Vilas Jaipur,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Room service']","24-Chetak Marg,Beside JK Lone Hospital, Moti Doongri Circle, Jaipur, Rajasthan, 302004",Jaipur,India,"26.900398, 75.818547",16
110,Talai Bagh Palace,4.0,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Pili ki Talai, Patelon Ki Dhani, Near Kunda Mod, Delhi Highway, Amer, Rajasthan, 302028",Jaipur,India,"26.982582, 75.901148",94
111,Bissau Palace,3.6,Good,"['Hot Tub', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Khetri House Road, Near Saroj Cinema, Outside Chandpole Gate, Jaipur, Rajasthan, 302016",Jaipur,India,"26.929905, 75.807597",67
112,OYO 452 Hotel City Inn,,,"['Air conditioning', 'Breakfast included', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant']","189A, Panchwati Circle, Lane no.- 1, Raja Park, Jaipur, Rajasthan, 302004",Jaipur,India,"26.894285, 75.830506",82
113,"Lemon Tree Premier, Jaipur",4.2,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Nirwan Marg, Bani Park, Jaipur, Rajasthan, 302016",Jaipur,India,"26.930335, 75.799828",120
114,Shahpura Residency,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Restaurant', 'Breakfast available', 'Business services']","Tonk Rd, Sita Bari, Sanganer, Jaipur, Rajasthan, 302017",Jaipur,India,"26.827039, 75.794417",47
115,Hotel Neelam,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Restaurant', 'Breakfast available', 'Business services']","Motilal, Motilal Atal Road, Jaipur, RJ, 302001",Jaipur,India,"26.920219, 75.799179",24
116,Hotel Moon Light Palace Jaipur,4.0,Very Good,"['Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","S 34, Shanti Nagar, Near Labur court, Opp. NBC Factory, Jaipur, Rajasthan, 302006",Jaipur,India,"26.91515, 75.77859",12
117,The Lodge B & B,,,"['Free airport shuttle', 'Air conditioning', 'Spa', 'Breakfast included', 'Free WiFi', 'Parking included']","360 aakdon ka rasta, kishan pole bazar, Jaipur, rajasthan, 302001",Jaipur,India,"26.92067, 75.81689",35
118,V One pride,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","E-3/E-10, Next To Vishu Marriage Garden, Nirman Nagar, DCM Ajmer Road, Jaipur, Rajasthan, 302016",Jaipur,India,"26.888362, 75.741644",37
119,Krishna Palace,3.6,Good,"['Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available', 'Business services']","E-26 Durga Marg, Bani Park, Jaipur, Rajasthan, 302016",Jaipur,India,"26.927881, 75.786483",20
120,Ikaki Niwas,4.7,Exceptional,"['Air conditioning', 'Free WiFi', 'Laundry', 'Pool', 'Restaurant', 'Business services']","5 Chha 2, Jawahar Nagar, Jaipur, Rajasthan, 302004",Jaipur,India,"26.886047, 75.829425",85
121,Konark Palace hotel,5.0,Exceptional,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Kitchen', 'Restaurant']","828-B, Opposite IOC Building, Frontier Colony, Adarsh Nagar, Jaipur, Rajathan, 302004",Jaipur,India,"26.900737, 75.830634",12
