hotel_id,hotel_name,hotel_rating,hotel_experience,amenities,address,city,country,location,hotel_price
73,OYO 13346 Hotel A R Ganpati Plaza,,,"['Breakfast included', 'Free WiFi', 'Air conditioning', 'Restaurant', 'Room service', 'Housekeeping']","0, transport nagar circle, opps. aiims,basni 2nd phase, Jodhpur, Rajasthan, 342005",Jaisalmer,India,"26.23711, 73.00985",
74,OYO 11975 Siddharth International,,,"['Breakfast included', 'Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant']","3, Sursagar Jaisalmer Road, Before Kailana Circle, Kabir Nagar, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.293171, 72.990543",
77,OYO 13935 Hotel Shree Celebration,,,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant', 'Housekeeping']","Hotel Party House, Behind Shastri Nagar police stn,Pal road, Jodhpur, Rajasthan, 342003",Jaisalmer,India,"26.26534, 72.992779",
80,Garh Govind Hotel & Resort,,,"['Free WiFi', 'Air conditioning', 'Spa', 'Laundry', 'Parking included', 'Pool']","Gopal Bari Jaisalmer Bypass Road, Near Mayoor Chopasani School, Jodhpur, Rajasthan, 342008",Jaisalmer,India,"26.259824, 72.949605",
81,Hotel Ajit Mansion,,,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant', 'Breakfast available']","Panch Batti Circle, Near Airport Road,, Ratanada, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.26698, 73.03841",
82,OYO 16577 Hotel Rajshree,,,"['Breakfast included', 'Free WiFi', 'Air conditioning', 'Parking included', 'Room service', 'Housekeeping']","Above Raj Shree Handloom, 263, ,B Rd, Laxmi Nagar, Jodhpur, Rajasthan, 342010",Jaisalmer,India,"26.302182, 73.051182",
84,OYO 42636 Zest Damodar Garh,,,"['Breakfast included', 'Air conditioning', 'Pet friendly', 'Pool', 'Housekeeping', '24/7 front desk']","29, Shyam Bagh, Shikargarh Enclave, Ahead Hotel Indana Palace, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.252811, 72.736472",
86,OYO 15001 Marvel Umed,,,"['Breakfast included', 'Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Housekeeping']","Nimhera House, Mandore Rd., Ship House Circle, Paota, Jodhpur, Rajasthan, 342006",Jaisalmer,India,"26.30052, 73.03908",
87,Shivam Palace & Resort,,,"['All inclusive', 'Free airport shuttle', 'Breakfast included', 'Free WiFi', 'Laundry', 'Parking included']","Lal Sagar, Gokul Ji Ki Piyau, New Nagore Road, Jodhpur, RJ, 342007",Jaisalmer,India,"26.337102, 73.058879",
88,OYO 38412 Kavya International,,,"['Breakfast included', 'Air conditioning', 'Room service', 'Housekeeping', '24/7 front desk']","Opp. Bon & Joint Hospital, 2, Kamla Nehru Nagar,Shyam Nagar, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.268952, 72.988348",
89,Chandelao Garh,4.5,Wonderful,"['Free WiFi', 'Laundry', 'Parking included', 'Restaurant', 'Business services']","VPO, Chandelao, Jodhpur, Rajasthan, 342027",Jaisalmer,India,"26.250688, 73.395967",
90,OYO 3960 Shree Mohan Villas,,,"['Breakfast included', 'Free WiFi', 'Air conditioning', 'Parking included', 'Restaurant', 'Housekeeping']","Plot No. 49, Saloon House, Near Umed Club, Rai Ka Bagh, Jodhpur, 342001",Jaisalmer,India,"26.288434, 73.035483",
91,The Gandhi International,4.5,Wonderful,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant', 'Business services']","The Gandhi International, 346 - A 4th B, Road, Sardarpura, Jodhpur, Rajasthan, Jodhpur, Rajasthan, 342003",Jaisalmer,India,"26.27829, 73.00739",
92,Hotel Kasturi Orchid,4.0,Very Good,"['Free WiFi', 'Air conditioning', 'Spa', 'Laundry', 'Parking included', 'Restaurant']","Pal Bypass Road, Pal Village, Near D.P.S. School, Jodhpur, Rajasthan, 342014",Jaisalmer,India,"26.2231, 72.968584",
93,V Resorts Veergarh Jhalamand,,,"['Free WiFi', 'Parking included', 'Pool', 'Restaurant', 'Room service', 'Housekeeping']","Guda Road, Jhalamand, Jodhpur, Rajasthan, 342005",Jaisalmer,India,"26.226608, 73.045344",
94,WelcomHeritage Bal Samand Lake Palace,4.2,Very Good,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Pool', 'Restaurant']","Mandore Road, Jodhpur, Rajasthan, 342026",Jaisalmer,India,"26.281202, 73.047779",
95,Black Horse - A Heritage Resort,4.0,Very Good,"['Free airport shuttle', 'Breakfast included', 'Free WiFi', 'Air conditioning', 'Spa', 'Laundry']","45 Bank Colony Main Circuit House Road, Near Military Hospital, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.289094, 73.044621",
97,Mapple Abhay,3.5,Good,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Pool', 'Restaurant']","Paota Circle, Paota, Jodhpur, Rajasthan, 342006",Jaisalmer,India,"26.295262, 73.0388",
98,Hotel City Palace,,,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant', 'Breakfast available']","32 Nai Sarak, Jodhpur, RJ, 342001",Jaisalmer,India,"26.29101, 73.025019",
99,Umaid Bhawan Palace,4.9,Exceptional,"['Free WiFi', 'Air conditioning', 'Spa', 'Laundry', 'Parking included', 'Pool']","Near Circuit House Road, Jodhpur, Rajasthan, 342006",Jaisalmer,India,"26.272444, 73.059125",
100,Kalinga Hotel,4.0,Very Good,"['Breakfast included', 'Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant']","Station Rd, Jodhpur, RJ, 342001",Jaisalmer,India,"26.28436, 73.0215",
101,Apnayt Villa,4.3,Excellent,"['Breakfast included', 'Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant']","136, Umaid Heritage, Foothill of Umaid Bhawan Palace, Jodhpur, Rajasthan, 342011",Jaisalmer,India,"26.277105, 73.048615",
102,Capital O 35409 Hotel Megh Niwas,,,"['Breakfast included', 'Free WiFi', 'Air conditioning', 'Parking included', 'Housekeeping']","1 Bilathikulam Rd Bilathikkulam, Jodhpur, 342006",Jaisalmer,India,"26.288328, 73.034245",
103,Jagat Vilas,3.9,Good,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant', 'Breakfast available']","25, Rai Ka Bagh, By Punjab National ATM, Umaid Bhawan Palace Road, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.287632, 73.041674",
104,Hotel Royale Plazo,,,"['Free WiFi', 'Air conditioning', 'Pet friendly', 'Restaurant', 'Breakfast available']","Plot B&D-1, Bhati circle, Ratanada, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.275234, 73.03543",
105,Hotel Rajputana Palace,3.5,Good,"['Free WiFi', 'Air conditioning', 'Parking included', 'Restaurant', 'Business services', 'Bar']","Panch Batti Circle, Airport road, Ratanada, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.266304, 73.03883",
106,The Pal Palace Hotel Jodhpur,,,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant', 'Breakfast available']","19, RTO Link Road, Near Galaxy School, Paota C Road, Jodhpur, Rajasthan, 342006",Jaisalmer,India,"26.308611, 73.05678",
107,Shahi Heritage - Shahi Guest House,4.3,Excellent,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Kitchen', 'Restaurant']","City Police Gandhi Street, Opp Narsingh Temple, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.293978, 73.017027",
