hotel_id,hotel_name,hotel_rating,hotel_experience,amenities,address,city,country,location,hotel_price
58,Hotel Brahma Niwas by the Lake,3.9,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","Next to Hotel Swaroop Vilas, Front of Swaroop Sagar Ambhav Garh, Udaipur, Rajasthan, 313001",Udaipur,India,"24.587335, 73.681916",60.0
59,Treebo Trend Hotel Jai Mahal,3.5,Good,"['Air conditioning', 'Free WiFi', 'Breakfast included', 'Parking included', 'Laundry', 'Restaurant']","2-A Block, Near G.V. Police Station., Goverdhan Vilas, Ajmer Road, Hiran Magri, Udaipur, Rajasthan, 313001",Udaipur,India,"24.527051, 73.678779",30.0
60,Ramee Royal Resort & Spa Udaipur,4.4,Wonderful,"['Spa', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Amangiri Hotel & Resorts, Near IIM, Udaipur-Ahmedabad Highway, Balicha, Udaipur, Rajasthan, 313002",Udaipur,India,"24.49398, 73.65403",77.0
61,Hotel Mumbai House,4.0,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","Opposite to Big Bazaar, Sukhadia Circle, Udaipur, Rajasthan, 313001",Udaipur,India,"24.612557, 73.702829",74.0
62,Hotel Mandovin,4.5,Wonderful,"['Air conditioning', 'Free WiFi', 'Parking included', 'Restaurant', 'Breakfast available', 'Housekeeping']","5A, Govindpura, Opposite M B College Ground, Udaipur, Rajasthan, 313001",Udaipur,India,"24.580341, 73.714932",60.0
63,Shikarbadi Hotel,3.8,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Goverdhan Villas, Near Goverdhan Sagar Lake, Rathana, Udaipur, Rajasthan, 313002",Udaipur,India,"24.545235, 73.678388",67.0
64,Regenta Central Udaipur,3.6,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","Court Chowk, Udaipur, RJ, 313001",Udaipur,India,"24.589496, 73.695396",55.0
65,Rangniwas Palace Hotel,4.6,Wonderful,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Rangniwas Palace Hotel, Rangniwas Marg, Lake Palace Road, Udaipur , Rajasthan, Udaipur, Rajasthan, 313001",Udaipur,India,"24.573947, 73.68736",31.0
66,Moustache Udaipur Luxuria,4.1,Wonderful,"['Free WiFi', 'Laundry', 'Restaurant', 'Housekeeping', '24/7 front desk']","25-26 Navghat, Next to City Palace, Udaipur, Rajasthan, 313001",Udaipur,India,"24.576961, 73.684966",145.0
67,Shahpura Dev Panache,4.5,Wonderful,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Trident Rd, Udaipur, RJ, 313001",Udaipur,India,"24.5806, 73.670272",52.0
68,Hotel Shiv Villas,4.6,Exceptional,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Lake Palace Rd, Udaipur, RJ, 313001",Udaipur,India,"24.574436, 73.689499",67.0
69,Hotel  Suryansh,4.1,Wonderful,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Breakfast available', 'Room service']","46, Gulab Bagh Road, Near Liberty Showroom, Udaipur, Rajasthan, 313001",Udaipur,India,"24.575243, 73.693477",33.0
70,Treebo Trend Meera,4.2,Wonderful,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Room service']","6, Meera Marg, Sardarpura, Madhuban, Udaipur, Rajasthan, 313001",Udaipur,India,"24.596182, 73.694588",40.0
71,Little Peepal House,4.7,Exceptional,"['Free WiFi', 'Laundry', 'Restaurant', 'Breakfast available', 'Housekeeping']","Panduwari Rd, Udaipur, RJ, 313001",Udaipur,India,"24.580636, 73.682631",67.0
72,Sargam Sadan,3.5,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Restaurant', 'Room service', 'Housekeeping']","35, Nagar Parishad Colony, Udaipur, Rajasthan, 313001",Udaipur,India,"24.580268, 73.670602",38.0
73,Devendra Garh,4.0,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Gym']","88 Rani Road, Fateh Sagar, Udaipur, Rajasthan, 313001",Udaipur,India,"24.595897, 73.662485",36.0
74,Hotel Sarovar on Lake Pichola,4.9,Exceptional,"['Air conditioning', 'Free WiFi', 'Laundry', 'Restaurant', 'Breakfast available', 'Bar']","On Pichola Lake, Hanuman Ghat, Outside Chandpole Gate, Udaipur, Rajasthan, 313001",Udaipur,India,"24.580198, 73.680382",74.0
75,Le ROI Udaipur,3.7,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Business services']","Multi functional Complex, Udaipur City Railway Station, Udaipur, Rajasthan, 313001",Udaipur,India,"24.568131, 73.699245",29.0
